person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm
p10,13.3,138,138,1,427
p10,13.3,27,18,20,424
p10,13.3,8,6,4,436
p10,13.3,28,20,20,435
p10,13.3,30,29,7,434
p10,13.3,9,8,4,431
p10,13.3,20,13,15,432
p10,13.3,15,15,2,435
p10,13.3,25,19,16,433
p10,13.3,24,12,21,436
p10,13.3,17,12,11,444
p10,13.3,22,20,8,441
p10,13.3,23,10,20,439
p10,13.3,10,5,9,434
p10,13.3,21,6,20,437
p10,13.3,26,13,22,435
p10,13.3,56,36,43,418
p10,13.3,53,32,42,416
p10,13.3,19,15,12,412
p10,13.3,84,65,53,408
p10,13.3,50,24,44,417
p10,13.3,47,38,29,426
p10,13.3,268,253,89,426
p10,13.3,128,121,43,415
p10,13.3,35,3,35,419
p10,13.3,63,10,62,441
p10,13.3,40,21,34,426
p10,13.3,51,25,44,422
p10,13.3,31,23,21,471
p10,13.3,19,0,19,471
p10,13.3,50,49,10,477
p10,13.3,22,22,0,483
p10,13.3,37,24,28,479
p10,13.3,22,11,19,479
p10,13.3,29,1,29,475
p10,13.3,57,42,38,467
p10,13.3,41,35,21,480
p10,13.3,150,145,37,476
p10,13.3,45,27,36,475
p10,13.3,20,11,17,472
p10,13.3,184,97,157,478
p10,13.3,2,1,1,475
p10,13.3,18,7,16,469
p10,13.3,43,33,27,399
p10,13.3,304,284,110,464
p10,13.3,37,29,22,501
p10,13.3,247,246,8,499
p10,13.3,80,43,67,503
p10,13.3,78,26,74,485
p10,13.3,293,279,89,489
p10,13.3,66,3,66,486
p10,13.3,222,221,27,484
p10,13.3,85,34,78,487
p10,13.3,227,222,46,481
p10,13.3,32,23,21,486
p10,13.3,45,34,29,488
p10,13.3,271,255,91,484
p10,13.3,8,7,1,583
p10,13.3,26,13,23,590
p10,13.3,42,2,42,619
p10,13.3,97,97,4,616
p10,13.3,23,23,5,621
p10,13.3,50,9,49,620
p10,13.3,24,16,17,623
p10,13.3,25,4,24,618
p10,13.3,13,12,5,618
p10,13.3,33,26,20,616
p10,13.3,39,9,38,604
p10,13.3,7,0,7,608
p10,13.3,17,13,10,609
p10,13.3,30,15,26,609
p10,13.3,29,28,8,612
p10,13.3,35,26,24,654
p10,13.3,20,1,20,481
p10,13.3,19,1,19,486
p10,13.3,34,26,21,482
p10,13.3,23,14,18,479
p10,13.3,31,31,0,481
p10,13.3,38,18,34,487
p10,13.3,45,27,36,483
p10,13.3,99,97,21,508
p10,13.3,53,25,46,505
p10,13.3,24,9,22,497
p10,13.3,205,196,60,500
p10,13.3,29,29,1,492
p10,13.3,42,40,11,496
p10,13.3,33,7,32,493
p10,13.3,13,6,11,491
p10,13.3,26,0,26,302
p10,13.3,24,21,11,535
p10,13.3,41,17,37,539
p10,13.3,285,242,151,537
p10,13.3,52,42,31,526
p10,13.3,36,35,8,540
p10,13.3,29,20,21,542
p10,13.3,59,45,37,537
p10,13.3,30,17,25,548
p10,13.3,33,25,21,518
p10,13.3,28,27,8,531
p10,13.3,29,25,14,530
p10,13.3,10,9,3,539
p10,13.3,44,27,34,522
