person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
dor,13.3,95,24,92,468.0,Trigonometric,FullFace 
dor,13.3,73,13,72,468.0,Trigonometric,FullFace 
dor,13.3,286,281,51,470.0,Trigonometric,FullFace 
dor,13.3,32,11,29,469.0,Trigonometric,FullFace 
dor,13.3,36,1,36,468.0,Trigonometric,FullFace 
dor,13.3,72,17,70,470.0,Trigonometric,FullFace 
dor,13.3,41,14,38,464.0,Trigonometric,FullFace 
dor,13.3,143,0,143,462.0,Trigonometric,FullFace 
dor,13.3,48,15,45,458.0,Trigonometric,FullFace 
dor,13.3,52,9,51,462.0,Trigonometric,FullFace 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
dor,13.3,11,10,4,453.0,Linear,FullFace
dor,13.3,319,276,158,446.0,Linear,FullFace 
dor,13.3,50,49,13,445.0,Linear,FullFace 
dor,13.3,2,1,1,440.0,Linear,FullFace 
dor,13.3,26,4,26,444.0,Linear,FullFace 
dor,13.3,183,59,173,442.0,Linear,FullFace 
dor,13.3,38,25,28,436.0,Linear,FullFace 
dor,13.3,262,196,173,438.0,Linear,FullFace 
dor,13.3,9,9,0,441.0,Linear,FullFace
dor,13.3,11,10,4,453.0,Linear,FullFace
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
dor,13.3,11,10,3,426.0,Linear,HeadPose
dor,13.3,24,20,14,421.0,Linear,HeadPose 
dor,13.3,40,36,16,421.0,Linear,HeadPose 
dor,13.3,37,34,15,427.0,Linear,HeadPose 
dor,13.3,25,9,23,424.0,Linear,HeadPose 
dor,13.3,22,21,5,425.0,Linear,HeadPose 
dor,13.3,16,16,4,422.0,Linear,HeadPose 
dor,13.3,194,78,177,420.0,Linear,HeadPose 
dor,13.3,22,21,6,421.0,Linear,HeadPose
dor,13.3,11,10,3,426.0,Linear,HeadPose
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
dor,13.3,58,18,55,402.0,Linear,HeadPose
dor,13.3,36,35,9,405.0,Linear,HeadPose
dor,13.3,39,39,2,414.0,Linear,HeadPose
dor,13.3,56,49,26,407.0,Linear,HeadPose
dor,13.3,25,17,19,410.0,Linear,HeadPose
dor,13.3,225,224,19,412.0,Linear,HeadPose
dor,13.3,280,280,6,415.0,Linear,HeadPose
dor,13.3,99,96,27,413.0,Linear,HeadPose
dor,13.3,56,55,13,413.0,Linear,HeadPose
dor,13.3,69,55,41,415.0,Linear,HeadPose
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
Default Name,14.0,72,6,71,514,Trigonometric,FullFace 
Default Name,14.0,60,1,60,498,Trigonometric,FullFace 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
Default Name,14.0,33,33,2,520,Trigonometric,FullFace 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
Default Name,14.0,3,1,3,533,Trigonometric,FullFace 
Default Name,14.0,44,13,41,524,Trigonometric,FullFace 
Default Name,14.0,26,26,2,527,Trigonometric,FullFace 
Default Name,14.0,8,1,8,526,Trigonometric,FullFace 
Default Name,14.0,46,25,38,530,Trigonometric,FullFace 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method
Default Name,14.0,33,8,32,506,Trigonometric,FullFace 
Default Name,14.0,10,9,3,524,Trigonometric,FullFace 
Default Name,14.0,60,7,59,521,Trigonometric,FullFace 
Default Name,14.0,31,19,25,515,Trigonometric,FullFace 
Default Name,14.0,31,15,27,525,Trigonometric,FullFace 
Default Name,14.0,42,40,12,531,Trigonometric,FullFace 
